right_db,left_db,RT,choice
16.0,24.0,0.1982421875,-1.0
19.0,21.0,0.30859375,-1.0
24.0,16.0,0.2099609375,1.0
20.5,19.5,0.25,1.0
19.5,20.5,0.01953125,-1.0
22.0,18.0,0.3193359375,-1.0
24.0,16.0,0.28515625,1.0
19.0,21.0,0.3828125,-1.0
28.0,12.0,0.12109375,1.0
18.0,22.0,0.8017578125,-1.0
19.5,20.5,0.455078125,-1.0
16.0,24.0,0.33984375,-1.0
12.0,28.0,0.1357421875,-1.0
24.0,16.0,0.2666015625,1.0
19.0,21.0,0.52734375,-1.0
20.5,19.5,0.19140625,1.0
22.0,18.0,0.572265625,-1.0
18.0,22.0,0.3203125,-1.0
12.0,28.0,0.0830078125,-1.0
18.0,22.0,0.794921875,-1.0
16.0,24.0,0.2412109375,-1.0
21.0,19.0,0.994140625,1.0
19.0,21.0,0.35546875,-1.0
12.0,28.0,0.1171875,-1.0
18.0,22.0,0.455078125,-1.0
16.0,24.0,0.314453125,-1.0
12.0,28.0,0.126953125,-1.0
19.5,20.5,0.8388671875,-1.0
20.5,19.5,0.572265625,1.0
12.0,28.0,0.1484375,-1.0
22.0,18.0,0.2333984375,1.0
19.0,21.0,0.2890625,-1.0
20.5,19.5,0.654296875,1.0
16.0,24.0,0.16015625,-1.0
28.0,12.0,0.142578125,1.0
12.0,28.0,0.142578125,-1.0
21.0,19.0,0.3701171875,1.0
16.0,24.0,0.486328125,-1.0
22.0,18.0,0.76953125,1.0
24.0,16.0,0.162109375,1.0
19.5,20.5,0.14453125,-1.0
24.0,16.0,0.12890625,1.0
12.0,28.0,0.255859375,-1.0
16.0,24.0,0.44921875,-1.0
22.0,18.0,0.7705078125,-1.0
20.5,19.5,0.9208984375,-1.0
19.0,21.0,0.1611328125,-1.0
28.0,12.0,0.3046875,1.0
22.0,18.0,0.1748046875,1.0
19.0,21.0,0.5947265625,-1.0
24.0,16.0,0.1376953125,1.0
12.0,28.0,0.154296875,-1.0
21.0,19.0,0.302734375,1.0
28.0,12.0,0.181640625,1.0
16.0,24.0,0.23828125,-1.0
19.5,20.5,0.7744140625,-1.0
21.0,19.0,0.400390625,-1.0
28.0,12.0,0.4052734375,1.0
18.0,22.0,0.24609375,-1.0
12.0,28.0,0.1669921875,-1.0
19.0,21.0,0.958984375,1.0
18.0,22.0,0.3779296875,-1.0
20.5,19.5,0.3037109375,1.0
21.0,19.0,0.373046875,1.0
24.0,16.0,0.2568359375,1.0
16.0,24.0,0.4833984375,-1.0
20.5,19.5,0.34375,1.0
12.0,28.0,0.2783203125,-1.0
16.0,24.0,0.1591796875,-1.0
18.0,22.0,0.8056640625,-1.0
20.5,19.5,0.1240234375,-1.0
19.0,21.0,0.333984375,1.0
28.0,12.0,0.142578125,1.0
19.5,20.5,0.228515625,-1.0
18.0,22.0,0.1728515625,-1.0
28.0,12.0,0.30078125,1.0
19.5,20.5,0.4111328125,-1.0
21.0,19.0,0.2578125,-1.0
20.5,19.5,0.3818359375,1.0
16.0,24.0,0.4140625,-1.0
19.5,20.5,0.1875,-1.0
12.0,28.0,0.1328125,-1.0
21.0,19.0,0.6181640625,-1.0
24.0,16.0,0.3408203125,1.0
16.0,24.0,0.3115234375,-1.0
19.0,21.0,0.685546875,-1.0
22.0,18.0,0.474609375,1.0
20.5,19.5,0.7275390625,-1.0
19.5,20.5,0.4130859375,-1.0
12.0,28.0,0.1103515625,-1.0
21.0,19.0,0.5361328125,1.0
19.5,20.5,0.279296875,-1.0
24.0,16.0,0.1865234375,1.0
12.0,28.0,0.1240234375,-1.0
19.0,21.0,0.15625,-1.0
20.5,19.5,0.0927734375,-1.0
16.0,24.0,0.1767578125,-1.0
21.0,19.0,0.5078125,-1.0
28.0,12.0,0.326171875,1.0
19.5,20.5,0.87890625,-1.0
24.0,16.0,0.205078125,1.0
18.0,22.0,0.11328125,-1.0
28.0,12.0,0.3046875,1.0
18.0,22.0,0.1416015625,-1.0
12.0,28.0,0.2197265625,-1.0
21.0,19.0,0.6552734375,1.0
12.0,28.0,0.19140625,-1.0
28.0,12.0,0.2734375,1.0
24.0,16.0,0.2568359375,1.0
18.0,22.0,0.1513671875,-1.0
20.5,19.5,0.96484375,-1.0
12.0,28.0,0.328125,-1.0
16.0,24.0,0.1552734375,-1.0
24.0,16.0,0.263671875,1.0
21.0,19.0,0.357421875,1.0
28.0,12.0,0.2294921875,1.0
22.0,18.0,0.5478515625,1.0
19.0,21.0,0.9970703125,-1.0
18.0,22.0,0.4052734375,-1.0
28.0,12.0,0.201171875,1.0
22.0,18.0,0.2568359375,-1.0
20.5,19.5,0.34765625,1.0
12.0,28.0,0.10546875,-1.0
19.5,20.5,0.478515625,-1.0
19.0,21.0,0.45703125,-1.0
20.5,19.5,0.1484375,1.0
19.0,21.0,0.1435546875,-1.0
20.5,19.5,0.1962890625,-1.0
12.0,28.0,0.1650390625,-1.0
21.0,19.0,0.177734375,1.0
24.0,16.0,0.1279296875,1.0
18.0,22.0,0.166015625,1.0
12.0,28.0,0.2705078125,-1.0
21.0,19.0,0.4560546875,-1.0
12.0,28.0,0.1689453125,-1.0
19.5,20.5,0.189453125,-1.0
28.0,12.0,0.1728515625,1.0
22.0,18.0,0.3447265625,-1.0
18.0,22.0,0.9111328125,-1.0
18.0,22.0,0.86328125,-1.0
22.0,18.0,0.4833984375,1.0
20.5,19.5,0.970703125,-1.0
12.0,28.0,0.158203125,-1.0
24.0,16.0,0.203125,1.0
22.0,18.0,0.2939453125,1.0
20.5,19.5,0.15625,1.0
19.0,21.0,0.8798828125,-1.0
18.0,22.0,0.38671875,-1.0
19.5,20.5,0.2822265625,-1.0
21.0,19.0,0.154296875,1.0
24.0,16.0,0.1259765625,1.0
28.0,12.0,0.2802734375,1.0
24.0,16.0,0.2099609375,1.0
18.0,22.0,0.6005859375,-1.0
19.5,20.5,0.06640625,1.0
20.5,19.5,0.2666015625,1.0
28.0,12.0,0.3447265625,1.0
20.5,19.5,0.765625,1.0
21.0,19.0,0.2353515625,1.0
19.0,21.0,0.1943359375,1.0
16.0,24.0,0.2255859375,-1.0
24.0,16.0,0.2001953125,1.0
22.0,18.0,0.349609375,1.0
28.0,12.0,0.2763671875,1.0
21.0,19.0,0.294921875,1.0
12.0,28.0,0.1591796875,-1.0
21.0,19.0,0.8466796875,-1.0
24.0,16.0,0.2802734375,1.0
19.0,21.0,0.1201171875,1.0
16.0,24.0,0.2587890625,-1.0
20.5,19.5,0.3369140625,1.0
12.0,28.0,0.119140625,-1.0
18.0,22.0,0.0732421875,-1.0
24.0,16.0,0.14453125,1.0
21.0,19.0,0.4326171875,1.0
19.5,20.5,0.0390625,1.0
18.0,22.0,0.4931640625,-1.0
24.0,16.0,0.1767578125,1.0
28.0,12.0,0.3046875,1.0
24.0,16.0,0.1826171875,1.0
20.5,19.5,0.359375,1.0
16.0,24.0,0.1533203125,-1.0
28.0,12.0,0.3720703125,1.0
19.0,21.0,0.21875,-1.0
24.0,16.0,0.119140625,1.0
16.0,24.0,0.3779296875,-1.0
20.5,19.5,0.7890625,-1.0
12.0,28.0,0.173828125,-1.0
24.0,16.0,0.2509765625,1.0
21.0,19.0,0.2900390625,1.0
19.0,21.0,0.1103515625,1.0
24.0,16.0,0.2763671875,1.0
20.5,19.5,0.1298828125,1.0
12.0,28.0,0.2705078125,-1.0
22.0,18.0,0.1806640625,1.0
